seg,count,City
好吃,2764,基隆
吃,1005,基隆
服務,786,基隆
不錯,727,基隆
新鮮,537,基隆
價格,495,基隆
餐點,492,基隆
非常,457,基隆
味道,436,基隆
便宜,410,基隆
環境,407,基隆
口味,399,基隆
用餐,369,基隆
湯頭,367,基隆
親切,363,基隆
基隆,348,基隆
老闆,337,基隆
真的,336,基隆
美味,332,基隆
態度,317,基隆
海鮮,314,基隆
東西,283,基隆
份量,282,基隆
餐廳,278,基隆
cp值,277,基隆
推薦,272,基隆
食材,266,基隆
高,254,基隆
沒,242,基隆
覺得,240,基隆
有點,238,基隆
不會,235,基隆
麵,230,基隆
牛肉,229,基隆
牛肉麵,217,基隆
料理,215,基隆
值得,213,基隆
乾淨,205,基隆
不錯吃,202,基隆
超,202,基隆
食物,200,基隆
感覺,199,基隆
店家,199,基隆
喜歡,199,基隆
比較,196,基隆
價位,186,基隆
實在,185,基隆
炒飯,183,基隆
肉,182,基隆
平價,181,基隆
人員,177,基隆
普通,172,基隆
菜色,171,基隆
很多,170,基隆
麵包,168,基隆
特別,163,基隆
適合,161,基隆
店員,160,基隆
很棒,157,基隆
讚,156,基隆
